Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,110384747,1414.0450181092274,2488467,31.877632188432855,381841,2446008,31.333726086769172,70588,0.9042427731278323,10715,
United States of America,Americas,27628834,8347.01,506251,152.94,68191,489351,147.84,17716,5.35,2381,Community transmission
India,South-East Asia,10977387,795.46,84641,6.13,13993,156212,11.32,662,0.05,101,Clusters of cases
Brazil,Americas,10030626,4718.98,316717,149,51879,243457,114.54,7256,3.41,1367,Community transmission
Russian Federation,Europe,4151984,2845.1,94286,64.61,12953,82876,56.79,3180,2.18,480,Clusters of cases
The United Kingdom,Europe,4095273,6032.57,81470,120.01,12027,119920,176.65,3633,5.35,533,Community transmission
France,Europe,3499305,5360.99,129633,198.6,23170,83524,127.96,2491,3.82,565,Community transmission
Spain,Europe,3121687,6676.72,41040,87.78,0,66704,142.67,915,1.96,0,Community transmission
Italy,Europe,2780882,4599.4,83586,138.25,15470,95235,157.51,2190,3.62,348,Clusters of cases
Turkey,Europe,2624019,3111.27,51829,61.45,7419,27903,33.08,619,0.73,82,Community transmission
Germany,Europe,2378883,2839.31,50436,60.2,9164,67696,80.8,2954,3.53,490,Community transmission
Colombia,Americas,2212525,4348.27,32884,64.63,4824,58334,114.64,1351,2.66,200,Community transmission
Argentina,Americas,2046795,4528.73,38450,85.07,7671,50857,112.53,983,2.17,241,Community transmission
Mexico,Americas,2022662,1568.77,54096,41.96,9099,178108,138.14,6874,5.33,1047,Community transmission
Poland,Europe,1631727,4311.42,48106,127.11,8509,42077,111.18,1368,3.61,254,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1558159,1855.11,54406,64.77,8017,59341,70.65,532,0.63,77,Community transmission
South Africa,Africa,1500677,2530.28,12996,21.91,1911,48859,82.38,1189,2,151,Community transmission
Ukraine,Europe,1299967,2972.46,31918,72.98,6295,25045,57.27,760,1.74,73,Community transmission
Indonesia,South-East Asia,1263299,461.86,61440,22.46,10614,34152,12.49,1496,0.55,183,Community transmission
Peru,Americas,1261804,3826.91,49495,150.11,9667,44489,134.93,1444,4.38,181,Community transmission
Czechia,Europe,1146321,10704.3,63472,592.7,11364,19097,178.33,1039,9.7,184,Community transmission
Netherlands,Europe,1047400,6112.68,25927,151.31,4761,15138,88.35,418,2.44,50,Community transmission
Canada,Americas,837497,2219,20334,53.88,3315,21498,56.96,410,1.09,63,Community transmission
Portugal,Europe,794769,7794.37,13546,132.85,1940,15821,155.16,787,7.72,67,Clusters of cases
Chile,Americas,791939,4142.76,23468,122.76,3797,19897,104.08,552,2.89,99,Community transmission
Romania,Europe,774555,4026.24,16879,87.74,2712,19738,102.6,461,2.4,79,Community transmission
Belgium,Europe,749739,6469.05,10662,92,1,21859,188.61,218,1.88,4,Community transmission
Israel,Europe,731037,8445.89,15241,176.08,0,5417,62.58,117,1.35,0,Community transmission
Iraq,Eastern Mediterranean,661477,1644.55,22039,54.79,4024,13232,32.9,75,0.19,12,Community transmission
Sweden,Europe,631166,6249.62,22784,225.6,4131,12649,125.25,48,0.48,1,Community transmission
Pakistan,Eastern Mediterranean,568506,257.37,8143,3.69,1245,12527,5.67,309,0.14,39,Community transmission
Philippines,Western Pacific,557058,508.35,11758,10.73,1895,11829,10.79,334,0.3,156,Community transmission
Switzerland,Europe,545158,6299.04,5527,63.86,5,9148,105.7,67,0.77,1,Community transmission
Bangladesh,South-East Asia,542674,329.51,2699,1.64,406,8337,5.06,84,0.05,8,Community transmission
Morocco,Eastern Mediterranean,480504,1301.81,2848,7.72,448,8540,23.14,90,0.24,16,Clusters of cases
Austria,Europe,437899,4862.09,10532,116.94,1799,8233,91.41,157,1.74,23,Community transmission
Serbia,Europe,431680,6198.95,13809,198.3,2632,4306,61.83,107,1.54,14,Community transmission
Japan,Western Pacific,423311,334.7,10157,8.03,1344,7333,5.8,484,0.38,59,Clusters of cases
Hungary,Europe,400111,4141.79,14356,148.61,2995,14252,147.53,616,6.38,107,Community transmission
Saudi Arabia,Eastern Mediterranean,374366,1075.34,2293,6.59,337,6454,18.54,30,0.09,4,Sporadic cases
United Arab Emirates,Eastern Mediterranean,365017,3690.62,22043,222.87,3140,1093,11.05,107,1.08,20,Community transmission
Jordan,Eastern Mediterranean,357611,3504.91,14048,137.68,867,4528,44.38,95,0.93,16,Community transmission
Lebanon,Eastern Mediterranean,351048,5143.23,16962,248.51,2255,4257,62.37,342,5.01,51,Community transmission
Panama,Americas,334463,7751.59,4388,101.7,708,5694,131.97,122,2.83,22,Community transmission
Slovakia,Europe,290457,5320.07,16553,303.19,2705,6424,117.66,691,12.66,74,Clusters of cases
Malaysia,Western Pacific,277811,858.34,19505,60.26,2936,1043,3.22,90,0.28,13,Clusters of cases
Belarus,Europe,275322,2913.67,10038,106.23,1663,1894,20.04,64,0.68,9,Community transmission
Nepal,South-East Asia,273263,937.86,706,2.42,97,2061,7.07,7,0.02,3,Clusters of cases
Ecuador,Americas,271276,1537.58,7759,43.98,1416,15474,87.71,254,1.44,30,Community transmission
Georgia,Europe,268097,6720.63,2897,72.62,396,3425,85.86,82,2.06,19,Community transmission
Kazakhstan,Europe,254712,1356.53,4236,22.56,0,3246,17.29,61,0.32,0,Clusters of cases
Croatia,Europe,239685,5838.48,2226,54.22,431,5420,132.03,121,2.95,13,Community transmission
Bolivia (Plurinational State of),Americas,239524,2051.95,5670,48.57,1029,11353,97.26,309,2.65,50,Community transmission
Bulgaria,Europe,235891,3394.87,6881,99.03,1463,9821,141.34,227,3.27,35,Clusters of cases
Dominican Republic,Americas,233598,2153.39,5834,53.78,818,3024,27.88,107,0.99,17,Community transmission
Azerbaijan,Europe,232829,2296.33,989,9.75,193,3193,31.49,20,0.2,3,Clusters of cases
Tunisia,Eastern Mediterranean,226740,1918.5,5285,44.72,725,7719,65.31,258,2.18,35,Community transmission
Ireland,Europe,213400,4321.77,5680,115.03,753,4109,83.22,244,4.94,27,Community transmission
Denmark,Europe,206617,3567.16,2824,48.76,552,2327,40.17,47,0.81,8,Community transmission
Costa Rica,Americas,201241,3950.46,2485,48.78,353,2756,54.1,46,0.9,11,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,194277,3808.3,6751,132.34,859,2162,42.38,52,1.02,7,Community transmission
Lithuania,Europe,193562,7110.27,3321,121.99,576,3162,116.15,105,3.86,17,Community transmission
Slovenia,Europe,183396,8821.62,5259,252.97,910,4034,194.04,25,1.2,2,Clusters of cases
Kuwait,Eastern Mediterranean,182460,4272.5,6408,150.05,976,1034,24.21,42,0.98,7,Community transmission
Greece,Europe,177494,1702.9,7250,69.56,1435,6249,59.95,172,1.65,28,Community transmission
